family,memory_mode,reasoning_depth,grid_rows,grid_cols,demonstrations,seed,exact_match,cell_accuracy,correct_cells,total_cells,memory_norm,effective_rank,entropy,interference_score,reconstruction_error,mean_sparsity,reasoning_steps,halting_step
Translation,baseline,8,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.474609375,9,-1
Translation,simple_hebbian,1,5,5,3,1,True,1.0,25,25,0.16410000622272491,2.0,0.16969814896583557,0.0,0.0,0.49497767857142855,2,-1
Translation,simple_hebbian,1,5,5,3,2,True,1.0,25,25,0.14418485760688782,1.0,0.036040328443050385,0.0,0.0,0.5198102678571429,2,-1
Translation,simple_hebbian,1,5,5,3,3,True,1.0,25,25,0.10991302877664566,2.0,0.31704244017601013,0.0,0.0,0.5172991071428571,2,-1
Translation,simple_hebbian,1,5,5,3,4,True,1.0,25,25,0.09104472398757935,3.0,0.5375975966453552,0.0,0.0,0.5131138392857143,2,-1
Translation,simple_hebbian,1,5,5,3,5,True,1.0,25,25,0.16688485443592072,3.0,0.34895825386047363,0.0,0.0,0.5064174107142857,2,-1
Translation,simple_hebbian,1,5,5,3,6,True,1.0,25,25,0.09024377912282944,3.0,0.1901494562625885,0.0,0.0,0.49386160714285715,2,-1
Translation,simple_hebbian,1,5,5,3,7,True,1.0,25,25,0.1656464785337448,2.0,0.18348118662834167,0.0,0.0,0.5290178571428571,2,-1
Translation,simple_hebbian,1,5,5,3,8,True,1.0,25,25,0.11179308593273163,3.0,0.3871285021305084,0.0,0.0,0.49888392857142855,2,-1
Translation,simple_hebbian,1,5,5,3,9,True,1.0,25,25,0.20404832065105438,3.0,0.49339044094085693,0.0,0.0,0.5078125,2,-1
Translation,simple_hebbian,1,5,5,3,10,True,1.0,25,25,0.10462652146816254,1.0,0.06198717653751373,0.0,0.0,0.5041852678571429,2,-1
Translation,simple_hebbian,1,5,5,3,11,True,1.0,25,25,0.21902388334274292,3.0,0.5981203317642212,0.0,0.0,0.5086495535714286,2,-1
Translation,simple_hebbian,1,5,5,3,12,True,1.0,25,25,0.21678516268730164,3.0,0.4450209140777588,0.0,0.0,0.482421875,2,-1
Translation,simple_hebbian,1,5,5,3,13,True,1.0,25,25,0.14787757396697998,2.0,0.35092276334762573,0.0,0.0,0.51171875,2,-1
Translation,simple_hebbian,1,5,5,3,14,True,1.0,25,25,0.15294352173805237,2.0,0.10705606639385223,0.0,0.0,0.49497767857142855,2,-1
